Region,Country,State,City,Month,Day,Year,AvgTemperature
Africa,Nigeria,,Niamey,4,18,1998,102.8
Asia,India,,Delhi,5,28,1998,103.7
Australia/South Pacific,Australia,,Sydney,1,28,2009,96.8
Europe,Cyprus,,Nicosia,6,27,1996,102.5
Middle East,Kuwait,,Kuwait,8,1,2012,110.0
North America,US,Arizona,Phoenix,6,21,2016,107.7
South/Central America & Carribean,Haiti,,Port au Prince,8,16,2004,97.4
